id,transcript,segments
80,"last year. Hi. Awww, what do you need? Awwww.",
81,"last year. Hi. Awww, what do you need? Awwww.",
82,"last year. Hi. Awww, what do you need? Awwww.",
83,"last year. Hi. Awww, what do you need? Awwww.",
123,"last year. Hi. Awww, what do you need? Awwww.",
84,"Komisi Pemberantasan Korupsi mendapatkan pengaduan masyarakat mengenai Sistem Inti Administrasi Perpajakan alias Kortex. Hal ini dikonfirmasi oleh jurubicara KPK Tesa Mahardika Sugiyarto melalui pesan singkat kepada bisnis Minggu 16 Februari 2025. Sebagai informasi, Kortex merupakan sistem perpajakan baru yang digaga sejak 2017 dan secara resmi berlaku 1 Januari 2025 lalu. Proyek senilai sekitar 1,3 triliun rupiah itu menjadi sorotan masyarakat karena sering mengalami error. Iya, ujar Tesa. Tesa menjelaskan laporan tersebut ditangani oleh Direktorat Pelayanan Laporan dan Pengaduan Masyarakat KPK. Namun dirinya tidak menjelaskan lebih lanjut siapa pihak pelapor atau kapan laporan tersebut disampaikan. Adapun sebelumnya, Direktorat Jenderal Pajak Kemengkiu membuka kembali sistem perpajakan yang lama atas usulan Komisi 11 DPR karena khawatir permasalahan Kortex akan berdampak negatif pada pendapatan negara. Kedati begitu, Direktur Jenderal Pajak Kementerian Keuangan Suryo Utomo menjelaskan sistem perpajakan lama dijalankan berbarengan dengan sistem Kortex. Jadi kita menggunakan dua sistem ya. Ujar Suryo dalam konferensi pers di Kompleks Parlemen Senayan, Jakarta Pusat, Senin 10 Februari 2025. Di sisi lain, pihaknya juga akan menyiapkan jalan implementasi Kortex berbasis risiko yang paling rendah. Jadi sama-sama kita konsisten, implementasi Kortex jangan sampai mengganggu upaya pengumpulan penerima negara. Tutupnya. Terima kasih.",
85,"last year. Hi. Awww, what do you need? Awwww.",
86,"Zhengxin Plastic Industry was established in 1997, specializing in the production of woven banks, continual banks, tongue banks, paper-plastic-composite banks, and mesh banks. The factory covers an area of more than 20,000 square meters. The company has passed ISO 9001-2015 Quality System Certification. 20 years of plastic woven products export experience. High-quality products are exported to all over the world, including Russia, Poland, Germany, France, the United States, Spain, Italy, Norway, Thailand, Singapore, Malaysia, Cambodia, Japan and other regions in more than 30 countries. Choose Zhengxin. You are more at ease. ",
87,"Zhengxin Plastic Industry was established in 1997, specializing in the production of woven banks, continual banks, tongue banks, paper-plastic-composite banks, and mesh banks. The factory covers an area of more than 20,000 square meters. The company has passed ISO 9001-2015 Quality System Certification. 20 years of plastic woven products export experience. High-quality products are exported to all over the world, including Russia, Poland, Germany, France, the United States, Spain, Italy, Norway, Thailand, Singapore, Malaysia, Cambodia, Japan and other regions in more than 30 countries. Choose Zhengxin. You are more at ease. ",
88,"Selamat siang. Salam sejahtera bagi kita sekalian. Om Swastiastu, Namo Buddhaya. Salam kebajikan. Pada siang hari ini, tanggal 17 Februari 2025, baru saja saya pimpin Rapat Kabinet Terbatas bersama Menteri-Menteri Perekonomian Kabinet Merah Putih. Kita telah membahas perkembangan ekonomi. Saya diberi update, saya diberi laporan perkembangan oleh Menteri Perekonomian. Saya sangat gembira bahwa perekonomian kita terkendali, inflasi kita salah satu terendah saat ini di dunia, pertumbuhan kita juga diperkirakan tetap di atas rata-rata dunia, hampir semua sektor berjalan dengan terkendali, walaupun perkembangan geopolitik dunia penuh ketidakpastian. Namun, ketahanan ekonomi kita cukup tangguh, masih banyak tantangan, masih banyak kesulitan, tapi kita mampu mengendalikan. Di bulan-bulan akan datang, kita akan lihat semakin kuatnya perkembangan ekonomi kita. Terutama hari ini kita ambil keputusan tentang devisa hasil ekspor sumber daya alam kita. Pemanfaatan sumber daya alam Indonesia harus dioptimalkan untuk kemakmuran bangsa dan rakyat, baik melalui pembiayaan pembangunan, perputaran uang di dalam negeri, peningkatan cadangan devisa, stabilitas nilai tukar. Selama ini dana devisa hasil ekspor kita, terutama dari sumber daya alam, banyak disimpan di luar negeri, di bank-bank luar negeri. Dalam rangka memperkuat dan memperbesar dampak dari pengelolaan devisa hasil ekspor sumber daya alam, maka pemerintah menetapkan Peraturan Pemerintah No. 8 tahun 2025 di mana pokok substansinya adalah sebagai berikut. Pertama, pemerintah menetapkan bahawa kewajipan penempatan devisa hasil ekspor sumber daya alam dalam sistem keuangan Indonesia akan ditingkatkan menjadi 100% dengan jangka waktu 12 bulan sejak penempatan, dalam rekening khusus DHA-SDA di dalam bank-bank nasional. Ketentuan ini berlaku untuk sektor pertambangan kecuali minyak dan gas bumi, perkebunan, kehutanan dan perikanan. Untuk sektor minyak dan gas bumi dikecualikan dengan tetap mengacu pada ketentuan PP No. 36 tahun 2023. Dengan langkah ini, di tahun 2025 devisa hasil ekspor kita diperkirakan bertambah sebanyak 80 miliar dolar Amerika. Karena ini akan berlaku mulai 1 Maret. Kalau lengkap 12 bulan, hasilnya diperkirakan akan lebih dari 100 miliar dolar. Selain itu, Pemerintah juga memberi ruang bagi eksportir untuk tetap menjaga keberlangsungan usahanya dengan mengizinkan para eksportir tersebut menggunakan DHA-SDA yang ditempatkan dalam rekening khusus untuk penggunaan sebagai berikut. Satu, penukaran kerupiah di bank yang sama untuk menjalankan kegiatan operasional dan menjaga keberlangsungan usahanya. Dua, pembayaran dalam bentuk falutan asing atas kewajiban pajak, penerimaan negara bukan pajak dan kewajiban lainnya kepada pemerintah sesuai peraturan perundang-undangan. Tiga, pembayaran dividen dalam bentuk falutan asing. Empat, pembayaran untuk pengadaan barang dan jasa berupa bahan baku, bahan penolong atau barang modal yang belum tersedia, tidak tersedia, tersedia namun hanya sebagian, tersedia tapi spesifikasinya tidak memenuhi di dalam negeri dalam bentuk falutan asing. Lima, pembayaran kembali atas pinjaman untuk pengadaan barang modal dalam bentuk falutan asing. Selanjutnya, dalam pasal ini telah diatur pula penerapan sanksi administratif berupa penangguhan atas pelayanan ekspor bagi yang tidak melaksanakan peraturan pemerintah ini. Selanjutnya, pengaturan kewajiban penempatan DHA-SDA terhadap komunitas sektor pertambangan minyak dan gas bumi tetap mengacu kepada PP no. 36 tahun 2023. Ketentuan masa berlaku ditutupkan pada tanggal 1 Maret 2025. Dan selanjutnya, pemerintah akan terus menerapkan kebijakan-kebijakan strategis untuk mendorong pertumbuhan ekonomi kita. Saudara-saudara sekalian, dalam kuartal pertama tahun ini kebijakan-kebijakan yang mendorong pertumbuhan ekonomi, pertama, hasil kebijakan kenaikan OMP 2024. Dua, optimalisasi penyaluran bansos di bulan Februari dan Maret 2025. Tiga, pencairan THR bagi ASN dan pekerja swasta di bulan Maret 2025. Empat, stimulus pada bulan Rabadan iaitu A, diskon harga tiket pesawat. B, diskon tarif tol. C, program diskon belanja. D, program pariwisata mudik lebaran. E, stabilitas harga pangan. Lima, paket stimulus ekonomi. A, diskon tarif listrik. B, PPN DTP pembelian properti dan otomotif. C, PPN BM DTP otomotif, elektronik vehikel dan hibrida. D, subsidi pajak DTP motor listrik. E, PPH DTP sektor padat karya. Enam, optimalisasi program makan bergisi gratis. Tujuh, optimalisasi penyaluran kur. Jelapan, panen padi terrealisi secara optimal. Di mana sudah ada laporan bahwa produksi beras kita meningkat secara signifikan. Sudah ada juga kebijakan-kebijakan yang mendorong daya saing untuk transformasi ekonomi kita. Yang pertama tentunya program makan bergisi gratis yang diperkirakan akan meningkatkan pertumbuhan di seluruh daerah-daerah di negara kita karena uang berputar di desa, di kecematan, di kabupaten. Dua, program ketahanan pangan dan energi berjalan terus. Tiga, optimalisasi pengelolaan BUMN kita melalui konsolidasi ke dalam suatu dana investasi nasional yang akan kita launching tanggal 24 Februari yang akan datang, yaitu danantara. Danantara adalah konsolidasi semua kekuatan ekonomi kita yang ada di pengelolaan BUMN. Itu nanti akan dikelola dan kita beri nama danantara, daya anagata nusantara. Daya artinya energi kekuatan anagata masa depan, nusantara tanah air kita. Jadi artinya danantara ini kekuatan ekonomi, dana investasi yang merupakan energi kekuatan masa depan Indonesia. Kekayaan negara dikelola, dihemat untuk anak dan cucu kita. Empat, kebijakan FLPP untuk melaksanakan program 3 juta rumah murah, pengendalian inflasi, lima, pembangunan kawasan industri dan KEK, tujuh, revisi PP5 tahun 2021 untuk kemudahan berusaha, delapan, keberlanjutan tax holiday and tax allowance untuk menjaga iklim investasi, sembilan, tadi yang sudah kita umumkan kebijakan tentang DHA, SDA. Sepuluh, kita akan bentuk bank emas. Jadi selama ini kita tidak punya bank untuk emas kita. Tidak ada di Indonesia. Jadi emas kita banyak ditambang dan mengalir ke luar negeri. Kita ingin sekarang punya bank khusus untuk emas. Di Indonesia, insyaallah kita akan resmikan tanggal 26 Februari. Ini saya kira pertama kali ya di Republik Indonesia. Kita terus akan perbaiki penghapusan buku Tagih Utang Macet bagi UMKM. Tentunya juga ada kebijakan internasional kita, yaitu bahwa Indonesia bergabung ke BRICS, sudah dinyatakan bahwa kita diterima di BRICS, ya ini prosesnya, transisinya sedang berjalan. Kita juga akan menyelesaikan perjanjian CEPA, singkatan CEPA, Comprehensive Economic Partnership Agreement. Intinya adalah semacam free trade area, saling menurunkan tarif bagi barang-barang kedua pihak. Kemudian kita juga menjalankan terus pendaftaran kita ke OECD. Yang terakhir, kita juga ingin secepatnya menyelesaikan kerjasama Indonesia kita, Indonesia, Uni Eropa, CEPA juga. Comprehensive Economic Partnership Agreement. Jadi, Saudara-saudara, demikian hasil daripada ratas hari ini. Padahal ini adalah pekerjaan berminggu-minggu, yang dilaksanakan oleh Menko dan semua Menteri, dan kita bahas sebetulnya sudah berkali-kali, tapi hari ini kita rangkumkan dan kita putuskan, dan sudah setar tangan peraturan pemerintah tersebut, nomor 8 tahun 2025, dan hari ini kita umumkan ke publik. Saya kira demikian, Saudara-saudara, kita bersyukur, kita bisa memberi yang terbaik kepada bangsa dan rakyat. Kesulitan pasti ada, hambatan pasti ada, tantangan pasti ada, tapi dengan kerjasama yang baik di antara semua pihak, dengan niat yang tulus, dengan orientasi kita hanya kepada kepentingan bangsa dan rakyat, dan berpegang teguh kepada Undang-Undang Dasar 1945, insyaallah kita akan mencapai keberhasilan. Kita akan menjadi semakin kuat di bulan-bulan dan tahun-tahun mendatang. Terima kasih. Wassalamualaikum warahmatullahi wabarakatuh. Salam sejahtera bagi kita sekalian. Om Santi Santi Santi Om. Namo Buddhaya. Selesai. Terima kasih. Terima kasih. Untuk menjadi bangsa yang berani, bangsa yang tidak takut tantangan, bangsa yang tidak takut rintangan, bangsa yang tidak takut ancaman. Terima kasih.",
89,"Presiden Amerika Serikat Donald Trump, tampaknya mengubah arah diplomasi global dengan mengutamakan negosiasi langsung dengan Rusia untuk mengakhiri perang di Ukraina. Sebuah langkah yang membuat para pemimpin Eropa dan pejabat Ukraina khawatir akan tersingkir dari proses tersebut. Dilansir di Associated Press atau AP, sejumlah pejabat tinggi pemerintahan Trump termasuk Menteri Luar Negeri Marco Rubio, Pernasihat Keamanan Nasional Mike Waltz, dan Utusan Khusus Steve Whitkoff akan bertolak ke Arab Saudi dalam waktu dekat untuk melakukan pembicaraan dengan perwakilan Rusia. Namun belum jelas sejauh mana pejabat Ukraina atau Eropa akan dilibatkan dalam perundingan yang direncanakan berlangsung di Riyad. Di sisi lain, dalam pidatonya di Munich Security Conference pada Sabtu lalu, Presiden Ukraina Vladimir Zelensky mengungkapkan kekecewaannya terhadap pendekatan baru Amerika Serikat yang cenderung mengabaikan Eropa dalam proses perdamaian. Sebelumnya, laporan terbaru menunjukkan bahwa Trump dan Presiden Rusia Vladimir Putin telah berbicara melalui telepon minggu lalu, di mana keduanya menyepakati dimulainya pembicaraan tingkat tinggi untuk mengakhiri perang. Terima kasih.",
90,"Zhengxin Plastic Industry was established in 1997, specializing in the production of woven banks, continual banks, tongue banks, paper-plastic-composite banks, and mesh banks. The factory covers an area of more than 20,000 square meters. The company has passed ISO 9001-2015 Quality System Certification. 20 years of plastic woven products export experience. High-quality products are exported to all over the world, including Russia, Poland, Germany, France, the United States, Spain, Italy, Norway, Thailand, Singapore, Malaysia, Cambodia, Japan and other regions in more than 30 countries. Choose Zhengxin. You are more at ease. ",
91,"last year. Hi. Awww, what do you need? Awwww.",
92,"Zhengxin Plastic Industry was established in 1997, specializing in the production of woven banks, continual banks, tongue banks, paper-plastic-composite banks, and mesh banks. The factory covers an area of more than 20,000 square meters. The company has passed ISO 9001-2015 Quality System Certification. 20 years of plastic woven products export experience. High-quality products are exported to all over the world, including Russia, Poland, Germany, France, the United States, Spain, Italy, Norway, Thailand, Singapore, Malaysia, Cambodia, Japan and other regions in more than 30 countries. Choose Zhengxin. You are more at ease. ",
93,"Ya kalau yang siang ini, ini pertama kalinya dan menurut Presiden akan dijadikan tradisi juga untuk makan siang bersama jacaran Menko dan Menteri-Menteri di bawah Kemenko sekaligus juga rapat. Jadi barusan itu ratas sekaligus makan siang bersama. Yang dibahas tentu terkait banyak hal, saya akan bicara mungkin yang terkait dengan hubungannya dengan Kementerian kami yaitu Komdigi diantaranya adalah Presiden tadi kembali membahas mengenai perkembangan penanganan judi online dan salah satu langkah yang akan diambil dalam waktu dekat adalah mengeluarkan aturan kemungkinan bentuknya PP yang memang mengatur lebih tegas lagi mengenai upaya kita melawan judi online. Mungkin itu dari kami update dari Komdigi saat ini kalau upaya blokir sudah dilakukan hampir 1 juta situs, namun demikian sekali lagi bahwa men-take down situs tidak sepenuhnya bisa menyelesaikan masalah tanpa giat-giat lainnya. Diantaranya tentu Komdigi juga telah menerapkan sistem saman dimana nanti para platform diharapkan juga patuh dan berkolaborasi kalau ada konten yang terkait dengan pornografi anak ataupun judi online maka mereka diwajibkan untuk melakukan take down dalam waktu secepatnya. Itu mungkin dari kami tentu kita akan giatkan terus sesuai arahan Presiden bagaimana penanganan judi online ini tidak selesai tapi secara kontinuitas akan terus dilakukan dan tadi tugasnya tidak hanya kepada kami juga tentu kepada kepolisian, kejaksaan dan juga pihak-pihak lainnya. Demikian, terima kasih. Tadi beliau juga minta diupdate mengenai itu, mudah-mudahan dalam waktu dekat nanti beliau sendiri yang akan menyampaikan. Jadi pada dasarnya prinsipnya bahwa sesuai masukan yang luar biasa dari publik, pemerintah tengah menggodok peraturan yang terkait perlindungan anak di ranah digital dan berbagai masukan tentu kita tampung saat ini dalam penggodokan akhir, nanti Pak Presiden sendiri yang akan menyampaikan kepada publik. Terima kasih.",
94,블랙핑크 X 예아 천사 같은 high 끝은 악마 같은 vibe 매번 미칠 듯한 high DM 뱉어야 하는 price 이건 답이 없는 test 매번 속절 아득해 stock한 감정의 노예 얼어 죽을 사랑해 here I come kickin' it up 향상독한 걸로 drop 뻔하디 뻔한 그 love 돈에 너 받기는 숨어 알아서 매달려 표랑 끝에 한마디면 또 like 해볼래 해 뜻따뜻한 떨림이 새빨간 설렘이 마치 해변가겠지만 you might not get in it look at me look at you 누가 더 아플까 you smile 누가 you are 두 눈에 빛난 물 흐르게 된다며 so sorry 누가 you are 나 어떡해 나약한 나에 견딜 수 없어 썩은 눈을 가린 채 사랑의 숨통을 끊어야겠어 Let's kill this love Yeah yeah yeah yeah yeah Rum pum pum pum pum pum Let's kill this love Rum pum pum pum pum pum Feelin' like a sinner It's so fire with him 알고보고 He said you look crazy Thank you baby I owe it all to you Got me all messed up His love is my favorite But you plus me sadly can be dangerous Look at me look at you 결국엔 거짓말 we lie So what so what 만약에 내가 널 지우게 된다면 so sorry I'm not sorry 나 어떡해 나약한 날 견딜 수 없어 했던 눈물을 감춘 채 사랑의 숨통을 끊어야겠어 Let's kill this love Yeah yeah yeah yeah yeah Rum pum pum pum pum pum Let's kill this love Rum pum pum pum pum pum We all commit a lie That makes you cry We all make a lie That kills you inside We must kill this love Yeah it's mad but true Gotta kill this love Before it kills you too Kill this love Yeah it's mad but true Gotta kill this love Gotta kill Let's kill this love,
95,"♪♪ Bismillahirrahmanirrahim. Assalamu'alaikum warahmatullahi wabarakatuh, Selamat pagi, Salam sejahtera bagi kita semuanya, Shalom. Om Swastiastu, Namo Buddhaya, Salam Kebajikan. Yang saya hormati, Presiden Republik Indonesia, Sekaligus Ketua Umum Partai Gerindra, Bapak Jenderal TNI Haji Prabowo Subianto. Yang saya hormati, Wakil Presiden Republik Indonesia, Bapak Gibran Raka Buming Raka. Yang saya hormati, Wakil Presiden ke-6 Republik Indonesia, Bapak Jenderal Tri Sutrisno. Yang saya hormati, Wakil Presiden ke-10, ke-12, Bapak Haji Muhammad Yusuf Kalla. Yang saya hormati, Ketua dan Pimpinan Lembaga-Lembaga Negara yang hadir. Yang saya hormati, Para Ketua Partai yang tidak bisa saya sebut satu persatu, nanti takut terselip seperti tadi. Yang saya hormati, Ketua Harian, Sekjen, seluruh jajaran pengurus Partai Gerindra, dari Sabang sampai Merauke, dari Miangas sampai Plorote yang hadir pada pagi hari ini. Sebetulnya, tadi malam saya sudah bernegosiasi, bernegosiasi dengan Pak Sekjen Gerindra, agar saya tidak usah memberikan sambutan. Tetapi, Pak Musyani dan Pak Dasko menyampaikan, Pak Jokowi ini yang meminta langsung dari Presiden Prabowo. Karena yang meminta Panglima Tertinggi, yang meminta Presiden Republik Indonesia, saya sampaikan, siapa? Karena yang memerintah pemimpin tertinggi kita, Presiden Republik Indonesia. Saya ingin menyampaikan sedikit mengenai angka-angka, tapi bukan seperti yang disampaikan oleh Presiden Prabowo tadi. Tahun 2014, saat awal saya menjabat, approval rating di awal-awal yang diberikan oleh lembaga survei itu 62 persen. Kemudian, karena menaikkan harga BPM, melorot menjadi 52 persen. Sekarang ingin saya bandingkan dengan approval rating Bapak Presiden Prabowo Sugiyanto. 100 hari kemarin, survei kinerjanya 80,9 persen. Dukungan dari Parlemen juga di atas 80 persen. Artinya apa? Dukungan rakyat sangat kuat sekali, dukungan politik di Parlemen sangat kuat sekali. Sehingga saya boleh menyampaikan, Presiden Prabowo ini adalah Presiden dengan dukungan terkuat, baik dari rakyat maupun dari DPR. Coba cek seluruh Presiden yang ada di dunia ini, sekarang ini enggak ada yang sekuat Bapak Prabowo Sugiyanto. Saking kuatnya, sampai detik ini saya tidak melihat ada yang berani mengkritik. Yang jadi sasaran, yang jadi sasaran adalah Jokowi. Karena saking kuatnya Bapak Presiden Prabowo Sugiyanto, dikit-dikit yang salah Jokowi, dikit-dikit yang salah Jokowi, dikit-dikit yang salah Jokowi. Coba sekali-sekali nyalakan Pak Prabowo. Enggak berani. Karena kepemimpinan dan determinasi Pak Prabowo sudah sangat teruji. Kita tahu, tadi sudah disampaikan oleh Pak Prabowo. Buktinya berkali-kali kalah tetap terus maju dan akhirnya menang. Mohon maaf, dua kali yang mengalahkan saya. Dengan kekuatan approval rating dan dukungan politik tadi, saya meyakini di bawah kepemimpinan Pak Prabowo, satu persatu nanti program-program yang sudah direncanakan akan bisa terrealisasi dengan baik. Dengan kepemimpinan Pak Prabowo, saya juga yakin Partai Gerindra akan semakin besar. Gerindra ini kalau kita lihat, kita samakan dengan mesin gerindra, gerinto. Itu kerjanya akan mirip-mirip. Saya melihat kepemimpinan Pak Prabowo ini mirip-mirip dengan mesin gerindra tadi. Yang bisa halus, dihaluskan. Yang tidak bisa dihaluskan, tapi diajak terus, dirangkul, diajak. Semua diajak. Saya melihat kepemimpinan Pak Prabowo ini sangat unik dan sangat bagus untuk negara kita. Terakhir, selamat ulang tahun ke-17 kepada seluruh keluarga besar Partai Gerindra dan juga selamat kepada Bapak Presiden Prabowo Subianto yang telah ditetapkan menjadi Ketua Umum dan Ketua Pembina Partai Gerindra tahun 2025-2030 lewat KLB yang hari Kamis kemarin diselenggarakan. Kami mendukung Bapak Presiden Prabowo Subianto untuk membawa Indonesia menjadi negara maju yang adil dan makmur, membawa Indonesia menjadi Indonesia raya. Terima kasih. Wassalamu'alaikum warahmatullahi wabarakatuh. Terima kasih dari kami, kata Gerindra. Terima kasih dari kami, kata Gerindra. Terima kasih dari kami, kata Gerindra. Terima kasih, terima kasih, terima kasih, terima kasih. Terima kasih, terima kasih, terima kasih Bapak Jokowi dari kami, kata Gerindra. Terima kasih.",
96,"Saudara-saudara, kemarin itu kita berhasil, kita menang, saya dapat mandat dari rakyat karena dukungan dari Presiden ke-7, dukungan dari Presiden ke-6, dukungan dari Gus Dur, dari Langit. Enggak bisa kalah kita kemarin itu, dan saudara-saudara kembali lagi angka ya, KPU mengumumkan saya menang pada hari itu waktu penghuannya, saya menang 58,58, 5 tambah 8, 13. 13 tambah 13, 26, 26, 8, benar, habis itu saya dan Mas Gibran dilantik tanggal 20 Oktober 2024, 20 Oktober, 2 tambah 10, 13 ya, 2 tambah 10, 12, 1 tambah 2, 3, 3 tambah 2, 4, jadi 2 tambah 8, ya, 11, 11, 1 tambah 1, 2. Yang dilantik tanggal itu pasangan nomor 2. Bukan aku yang ngatur lho, saya enggak bisa pilih tanggal kan, bukan kita atur, ini sudah tondo-tondo. Berarti kita insyaallah akan berhasil membawa kebaikan kepada negara dan bangsa rakyat Indonesia. Jadi apa yang saya lakukan sekarang, saya katakan ini karena letak fondasi dasar dibuat oleh Presiden-Presiden terdahulu. Semuanya punya bagian, ibarat kita bangun rumah, Bung Karno letakkan, Pak Harto membangun, dan seterusnya Pak Habibie, ya kan, Gus Dur, Ibu Mega. Saya akui Ibu Mega banyak keberhasilan dan jasa untuk Republik ini, saya akui. Maaf kalau ada yang mau jelek-jelekin Ibu Mega, saya, saya akan, saya tidak suka menjelek-jelekin karena saya juga mengerti apa yang mereka berbuat juga untuk Republik ini. Pak SBY, Presiden mengatasi krisis demi krisis dibantu oleh Pak YK, konflik berkepanjangan mereka selesaikan, tsunami mereka hadapi, krisis keuangan mereka atasi. Kita hormatilah orang yang telah berbuat baik. Pak Jokowi, saya katakan, beliau sangat berjasa sehingga kita sekarang bisa insya Allah kita akan bangkit, kita akan hilirisasi, kita akan tingkatkan penghasilan untuk rakyat Indonesia. Ada yang melawan ada, kalau kita yang mau bersihkan korupsi dilawan kira-kira yang melawan kita siapa? Yang melawan kita ya koruptor itu, yang maling-maling itu. Kita tidak gentar, kita tidak takut, kita akan terus membersihkan mereka itu. Saya katakan lebih baik, kalian baik-baik, kalau malu ya diam-diam malam-malam datang ke saya deh. Tidak usah ke istana saya di Widya Chandra, benar lagi. Begitu saya masuk rumah dinas, rumah dinas saya nomor delapan. Bukan saya yang milih rumah dinas, bukan Pak Pratik Menseknek. Jangan-jangan Pak Pratik ya, kasih Pak Prabowo nomor delapan aja. Enggak itu rumah menhan sebelum saya, Pak Riamisar disitu, Pak Purnomo disitu, rumah aja nomor delapan bayangkan. Saya mau selahkan ke Pak Safri, dia enggak mau masuk, dia enggak berani masuk, nomor delapan. Fri, kamu sandinya apa waktu itu, kosong berapa? Kamu sandinya sepuluh, hebat dia. Ngomongnya gimana, kosong sepuluh, kosong sepuluh.",
97,"last year. Hi. Awww, what do you need? Awwww.",
98,"last year. Hi. Awww, what do you need? Awwww.",
99,"Zhengxin Plastic Industry was established in 1997, specializing in the production of woven banks, continual banks, tongue banks, paper-plastic-composite banks, and mesh banks. The factory covers an area of more than 20,000 square meters. The company has passed ISO 9001-2015 Quality System Certification. 20 years of plastic woven products export experience. High-quality products are exported to all over the world, including Russia, Poland, Germany, France, the United States, Spain, Italy, Norway, Thailand, Singapore, Malaysia, Cambodia, Japan and other regions in more than 30 countries. Choose Zhengxin. You are more at ease. ",
100,"last year. Hi. Awww, what do you need? Awwww.",
101,"last year. Hi. Awww, what do you need? Awwww.",
102,"last year. Hi. Awww, what do you need? Awwww.",
103,"last year. Hi. Awww, what do you need? Awwww.",
104,"last year. Hi. Awww, what do you need? Awwww.",
105,"last year. Hi. Awww, what do you need? Awwww.",
106,"last year. Hi. Awww, what do you need? Awwww.",
107,"Waktu usia muda, waktu saya aktif di tentara saya diberi Sandi 08, saya enggak dikasih Sandi 06 atau 07. Kalau saya dikasih 06 jangan-jangan Presiden ke-6, saya dikasih Sandi 08, saya menjadi Presiden ke-8. Di tahun 2024, 2 tambah 2 tambah 4, 8. Jadi saya menjadi Presiden Republik Indonesia ke-8 di tahun 2008. Dan hari ini saya sebagai Presiden Republik Indonesia berdiri di sini pada ulang tahun yang ke-17, 1 sama 7. Dan kebetulan hari ini tanggal 15 bulan 2, 2025. Jadi 15, 1 sama 5, 6, 6 tambah 2, 8, 8, 2, 2, 2025, 9, 8 tambah 9, 17. Jadi bapak-bapak sekalian hari ini hari yang baik, ulang tahun ke-17 pada hari yang jumlahnya 17. Jadi insyaallah hari ini baik bagi kita sekalian dan terima kasih hari ini saya dihormati tokoh-tokoh bangsa hadir. Dan pimpinan partai politik dari semua spektrum hadir termasuk yang baju merah. Saudara-saudara saya ini setengah Minahasa, setengah Sulawesi. Di Minahasa kita ada suatu pepatah, kita semua bersaudara. Di sini ada Gubernur Sulawesi Utara. Walaupun kita bersaing tapi kita bersaudara. Saya kira itu saja yang ingin saya sampaikan. Selamat Hari Raya. Selamat Hari Raya. Pak Jokowi ini gerindra ya kaya begini pak. Bandel-bandel ini anak-anaknya. Saudara-saudara sekalian memang kemarin itu tanggal 13 ya. Tanggal 13 saya didadak oleh mereka-mereka ini semua. Tadinya Rapimnas akhirnya dirubah jadi kongres luar biasa itu. Mereka alasannya penghematan. Kalau sekarang Rapimnas tiga bulan lagi kongres biayanya double. Jadi dengan azaz penghematan akhirnya dijadikan satu. Dan memang sebetulnya aneh. Baru seratus hari bekerja sudah dipaksa untuk mau dicalonkan tahun 2029. Nanti ada itu penghemat-penghemat Prabowo ambisi. Ini ada wartawan dia, dia ngerekam semua. Ngerekam dia ingin saya salah bicara itu. Kalau ada wartawan media saya harus bicara sopan sekali. Kalian mau saya bicara sopan atau apa adanya? Atau mau bicara sopan? Saudara-saudara sekalian. Negara kita harus demokrasi. Blablabla.",
124,"last year. Hi. Awww, what do you need? Awwww.",
148,"last year. Hi. Awww, what do you need? Awwww.",
108,"Saudara-saudara sekalian, bapak-bapak ibu-ibu sekalian tidak ada presiden di popik Indonesia yang punya tongkat Nabi Musa, tidak ada. Negara kita sangat besar, sudah kita mulai beglar sekian ratus sekian, masih ada yang komentar, iya tapi belum banyak. Kalau enggak ada wartawan saya bilang, maaf ya. Mas Gibran ini kayak kampanye aja ini, ini pidato politik ini, kok banyak ketawanya. Jadi saudara-saudara itu situasinya, jadi saudara-saudara kita di atas jalan yang benar dan saya terima kasih kepada pembantu-pembantu saya, para mentri-mentri koordinator, ada orang-orang pintar, kabinet ini kabinet gemuk, terlalu besar. Saudara-saudara sekalian, Timur Leste jumlah penduduknya enggak sampai 2 juta orang, kalah sama Kabupaten Bogor, kabinetnya itu 28 orang. Enggak sampai lebih kecil dari Kabupaten Bogor, kabinetnya 28 orang, kita seluas Eropa, Eropa 27 negara, dia punya 27 mentri keuangan, 27 mentri dalam negeri, 27 mentri luar negeri, 27 panglima, kabinet gemuk. Enggak peduli saya disebut apa, yang penting hasilnya. Saudara-saudara minta saya bersedia dicalonkan lagi tahun 2029. Saya katakan, kalau program-program saya tidak berhasil, tidak perlu saudara calonkan saya terus, saya kalau mengecewakan kepercayaan rakyat, saya malu untuk maju lagi.",
